source,tag,xyz_file,n_atoms,topology_label,charge,uhf,e_xtb_eV_per_atom,freq_status,is_true_minimum,hops_needed,n_imaginary_before_hopping,e_final_eV_per_atom,e_shift_eV_per_atom,freq_seconds
N_csp,N_csp_N3_0000_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N3_0000_chain.xyz,3,chain,0,1,-78.23859,ok,True,0,0,-78.238594,-4e-06,0.8
N_csp,N_csp_N4_0005_bicyclic-3-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0005_bicyclic-3-3-3.xyz,4,bicyclic-3-3-3,0,0,-78.12615,ok,True,0,0,-78.126145,5e-06,1.0
N_csp,N_csp_N4_0004_bicyclic-3-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0004_bicyclic-3-3.xyz,4,bicyclic-3-3,0,0,-77.78993,ok,True,0,0,-77.78993,0.0,1.3
N_csp,N_csp_N5_0001_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0001_chain.xyz,5,chain,0,1,-78.61039,ok,True,0,0,-78.610394,-4e-06,1.9
N_csp,N_csp_N3_0001_ring-3,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N3_0001_ring-3.xyz,3,ring-3,0,1,-77.4108,ok,True,1,2,-77.484475,-0.073675,2.4
N_csp,N_csp_N5_0005_ring-5,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0005_ring-5.xyz,5,ring-5,0,1,-78.59634,ok,True,0,0,-78.596342,-2e-06,2.6
N_csp,N_csp_N5_0002_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0002_ring-3-substituted.xyz,5,ring-3-substituted,0,1,-78.61039,ok,True,0,0,-78.610394,-4e-06,1.9
N_csp,N_csp_N5_0003_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0003_ring-3-substituted.xyz,5,ring-3-substituted,0,1,-78.10743,ok,True,0,0,-78.107432,-2e-06,2.3
N_csp,N_csp_N4_0001_chain,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0001_chain.xyz,4,chain,0,0,-78.42776,ok,True,0,0,-78.427761,-1e-06,0.9
N_csp,N_csp_N5_0007_bicyclic-3-4,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N5_0007_bicyclic-3-4.xyz,5,bicyclic-3-4,0,1,-77.85008,ok,True,0,0,-77.850082,-2e-06,1.7
N_csp,N_csp_N4_0002_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N4_0002_ring-3-substituted.xyz,4,ring-3-substituted,0,0,-78.42776,ok,True,0,0,-78.427761,-1e-06,0.9
N_csp,N_csp_N6_0005_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0005_ring-3-substituted.xyz,6,ring-3-substituted,0,0,-78.88277,ok,True,0,0,-78.882773,-3e-06,2.4
N_csp,N_csp_N6_0007_ring-3-substituted,/Users/akapulco/polyN/structures_externes/N_csp/xyz/N6_0007_ring-3-substituted.xyz,6,ring-3-substituted,0,0,-78.4853,ok,True,0,0,-78.485304,-4e-06,2.4
